Drug_Name,NAFDAC_Code,Manufacturer,Category,Label
Bliss Artemether 500mg,A3-785459,Bliss GVS Pharma Ltd,Drugs,1
Sages Omeprazole 10mg/5ml,B4-345256,Sages Multipurpose Enterprise Ltd,Veterinary,1
Sages Vitamin C 10mg/5ml,A3-812252,Sages Multipurpose Enterprise Ltd,Medical devices,1
Lady Loratadine 100mg,04-902792,Lady Special Sanitary Pads Ventures,Veterinary,1
Swiss Ibuprofen 500mg,04-4196,Swiss Pharma Nigeria Ltd,Veterinary,1
Emzor Metformin 100mg,B4-7993,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Sages Metformin 100mg,A4-191080,Sages Multipurpose Enterprise Ltd,Medical devices,1
Emzor Metformin 500mg,04-9484,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Roche Paracetamol 100mg,B4-967415,Roche Products Limited,Herbals and Nutraceuticals,1
Bliss Paracetamol 250mg,A4-4598,Bliss GVS Pharma Ltd,Veterinary,1
Bliss Vitamin C 100mg,04-8018,Bliss GVS Pharma Ltd,Veterinary,1
Bliss Vitamin C 100mg,04-8043,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,1
Sages Amoxicillin 250mg,B4-951481,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Bliss Omeprazole 100mg,04-7158,Bliss GVS Pharma Ltd,Medical devices,1
Fidson Metformin 100mg,04-8232,Fidson Healthcare Plc,Drugs,1
Neimeth Vitamin C 10mg/5ml,04-1329,Neimeth International Pharmaceuticals,Vaccines and Biologics,1
Vitalgrub Loratadine 250mg,A4-554926,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,1
Roche Ciprofloxacin 100mg,A4-7041,Roche Products Limited,Herbals and Nutraceuticals,1
Bond Artemether 100mg,03-9846,Bond Chemical Industries Ltd,Vaccines and Biologics,1
May Vitamin C 500mg,A4-2734,May & Baker Nigeria Plc,Drugs,1
Vitalgrub Metronidazole 500mg,A3-2816,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,1
Aktika Artemether 250mg,B4-5359,Aktika Global Ltd,Vaccines and Biologics,1
Bond Artemether 100mg,A4-490659,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Neimeth Paracetamol 500mg,03-994995,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Neimeth Artemether 10mg/5ml,B4-3400,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Aktika Paracetamol 10mg/5ml,03-876903,Aktika Global Ltd,Medical devices,1
Aktika Vitamin C 10mg/5ml,A3-2626,Aktika Global Ltd,Drugs,1
Neimeth Amoxicillin 500mg,B4-4046,Neimeth International Pharmaceuticals,Medical devices,1
Wemy Loratadine 250mg,A4-544128,Wemy Industries Limited,Veterinary,1
Lady Loratadine 10mg/5ml,A3-1602,Lady Special Sanitary Pads Ventures,Medical devices,1
Neimeth Amoxicillin 100mg,03-862580,Neimeth International Pharmaceuticals,Drugs,1
May Ciprofloxacin 100mg,03-3808,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Bond Ibuprofen 100mg,03-846103,Bond Chemical Industries Ltd,Medical devices,1
Juhel Ibuprofen 250mg,04-281844,Juhel Nigeria Ltd,Veterinary,1
Aktika Ibuprofen 250mg,B4-9776,Aktika Global Ltd,Herbals and Nutraceuticals,1
Sages Artemether 100mg,A4-3356,Sages Multipurpose Enterprise Ltd,Veterinary,1
Lady Ciprofloxacin 250mg,A3-2536,Lady Special Sanitary Pads Ventures,Medical devices,1
Emzor Amoxicillin 10mg/5ml,B4-6153,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Lady Metformin 250mg,03-614583,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
Sages Artemether 100mg,03-852913,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
May Ciprofloxacin 500mg,A4-1124,May & Baker Nigeria Plc,Veterinary,1
Roche Vitamin C 500mg,A4-6461,Roche Products Limited,Veterinary,1
Vitalgrub Vitamin C 10mg/5ml,A4-4957,Vitalgrub Nigeria Limited,Vaccines and Biologics,1
Neimeth Omeprazole 500mg,03-2137,Neimeth International Pharmaceuticals,Medical devices,1
Wemy Paracetamol 10mg/5ml,A4-620581,Wemy Industries Limited,Herbals and Nutraceuticals,1
Bliss Loratadine 10mg/5ml,A3-353800,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,1
May Amoxicillin 100mg,03-240721,May & Baker Nigeria Plc,Veterinary,1
Roche Amoxicillin 10mg/5ml,04-1479,Roche Products Limited,Medical devices,1
May Vitamin C 250mg,04-768301,May & Baker Nigeria Plc,Vaccines and Biologics,1
Aktika Ibuprofen 10mg/5ml,A3-370855,Aktika Global Ltd,Medical devices,1
Vitalgrub Ibuprofen 500mg,03-7227,Vitalgrub Nigeria Limited,Veterinary,1
Aktika Metformin 10mg/5ml,A3-813348,Aktika Global Ltd,Veterinary,1
Bliss Vitamin C 500mg,A4-3160,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Wemy Ibuprofen 10mg/5ml,A3-669955,Wemy Industries Limited,Veterinary,1
Juhel Vitamin C 100mg,A4-3939,Juhel Nigeria Ltd,Drugs,1
Vitalgrub Paracetamol 10mg/5ml,03-7998,Vitalgrub Nigeria Limited,Veterinary,1
Lady Metronidazole 500mg,A4-3416,Lady Special Sanitary Pads Ventures,Veterinary,1
May Metformin 500mg,04-230016,May & Baker Nigeria Plc,Drugs,1
Vitalgrub Omeprazole 100mg,03-2499,Vitalgrub Nigeria Limited,Medical devices,1
Fidson Ibuprofen 250mg,A4-499769,Fidson Healthcare Plc,Veterinary,1
Roche Ibuprofen 10mg/5ml,B4-8069,Roche Products Limited,Drugs,1
GlaxoSmithKline Metformin 10mg/5ml,A3-2161,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
Wemy Metformin 10mg/5ml,03-6172,Wemy Industries Limited,Medical devices,1
Juhel Metformin 100mg,03-2291,Juhel Nigeria Ltd,Vaccines and Biologics,1
Roche Artemether 500mg,A4-1376,Roche Products Limited,Drugs,1
Neimeth Amoxicillin 500mg,A4-9814,Neimeth International Pharmaceuticals,Veterinary,1
Aktika Ciprofloxacin 100mg,A3-529865,Aktika Global Ltd,Medical devices,1
Sages Vitamin C 10mg/5ml,A3-6212,Sages Multipurpose Enterprise Ltd,Veterinary,1
Juhel Loratadine 500mg,A4-7621,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Wemy Paracetamol 10mg/5ml,B4-9621,Wemy Industries Limited,Herbals and Nutraceuticals,1
Swiss Amoxicillin 250mg,A4-579177,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Roche Omeprazole 10mg/5ml,A4-5649,Roche Products Limited,Drugs,1
Neimeth Metformin 100mg,04-980077,Neimeth International Pharmaceuticals,Medical devices,1
Juhel Loratadine 250mg,B4-775462,Juhel Nigeria Ltd,Drugs,1
Vitalgrub Metformin 10mg/5ml,03-7028,Vitalgrub Nigeria Limited,Medical devices,1
Wemy Loratadine 500mg,04-5722,Wemy Industries Limited,Medical devices,1
Lady Ciprofloxacin 250mg,A4-4723,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
Emzor Ciprofloxacin 100mg,04-714769,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
May Paracetamol 10mg/5ml,03-2482,May & Baker Nigeria Plc,Veterinary,1
Swiss Metronidazole 10mg/5ml,A3-5919,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
May Vitamin C 100mg,03-958267,May & Baker Nigeria Plc,Medical devices,1
Juhel Metformin 100mg,A4-3082,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Sages Metformin 100mg,03-866230,Sages Multipurpose Enterprise Ltd,Drugs,1
Aktika Artemether 100mg,04-806931,Aktika Global Ltd,Vaccines and Biologics,1
Juhel Metformin 10mg/5ml,A4-937529,Juhel Nigeria Ltd,Veterinary,1
Fidson Paracetamol 10mg/5ml,B4-1356,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Swiss Ibuprofen 100mg,A3-879680,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Bond Metronidazole 10mg/5ml,A3-5675,Bond Chemical Industries Ltd,Medical devices,1
Fidson Metformin 10mg/5ml,04-9730,Fidson Healthcare Plc,Vaccines and Biologics,1
Vitalgrub Ibuprofen 250mg,03-376109,Vitalgrub Nigeria Limited,Drugs,1
Swiss Metformin 500mg,03-9792,Swiss Pharma Nigeria Ltd,Medical devices,1
Sages Ibuprofen 100mg,03-9062,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Neimeth Ibuprofen 100mg,04-926278,Neimeth International Pharmaceuticals,Medical devices,1
Roche Amoxicillin 100mg,A4-4759,Roche Products Limited,Veterinary,1
Juhel Artemether 500mg,A4-870878,Juhel Nigeria Ltd,Vaccines and Biologics,1
Emzor Metronidazole 100mg,03-2777,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Juhel Loratadine 10mg/5ml,03-4587,Juhel Nigeria Ltd,Drugs,1
Bliss Metronidazole 250mg,04-2878,Bliss GVS Pharma Ltd,Drugs,1
Wemy Metronidazole 10mg/5ml,B4-5865,Wemy Industries Limited,Veterinary,1
Roche Paracetamol 500mg,04-5666,Roche Products Limited,Veterinary,1
Neimeth Omeprazole 500mg,04-3415,Neimeth International Pharmaceuticals,Vaccines and Biologics,1
Bond Ibuprofen 10mg/5ml,A3-591112,Bond Chemical Industries Ltd,Medical devices,1
Fidson Loratadine 500mg,A3-566185,Fidson Healthcare Plc,Vaccines and Biologics,1
GlaxoSmithKline Metformin 10mg/5ml,04-1857,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
Swiss Omeprazole 10mg/5ml,04-631562,Swiss Pharma Nigeria Ltd,Veterinary,1
GlaxoSmithKline Artemether 100mg,A4-323023,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
Sages Loratadine 500mg,A3-483556,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Aktika Amoxicillin 250mg,B4-9785,Aktika Global Ltd,Vaccines and Biologics,1
Emzor Amoxicillin 100mg,03-519614,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Lady Metronidazole 10mg/5ml,A4-2469,Lady Special Sanitary Pads Ventures,Veterinary,1
Sages Metronidazole 500mg,B4-3049,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Swiss Artemether 250mg,04-1328,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Emzor Amoxicillin 10mg/5ml,B4-247049,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Sages Paracetamol 250mg,A3-5228,Sages Multipurpose Enterprise Ltd,Medical devices,1
Bliss Metformin 250mg,A3-106553,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Emzor Amoxicillin 250mg,A3-2385,Emzor Pharmaceutical Ind. Ltd,Drugs,1
May Metformin 250mg,A4-5122,May & Baker Nigeria Plc,Veterinary,1
Roche Paracetamol 10mg/5ml,A4-555561,Roche Products Limited,Veterinary,1
Fidson Ibuprofen 250mg,B4-5942,Fidson Healthcare Plc,Medical devices,1
Wemy Loratadine 500mg,A3-4098,Wemy Industries Limited,Veterinary,1
Fidson Omeprazole 500mg,B4-138575,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Aktika Paracetamol 500mg,A3-1063,Aktika Global Ltd,Vaccines and Biologics,1
Sages Artemether 100mg,A4-7321,Sages Multipurpose Enterprise Ltd,Veterinary,1
Sages Omeprazole 500mg,04-5316,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Bliss Metronidazole 100mg,A3-2059,Bliss GVS Pharma Ltd,Veterinary,1
GlaxoSmithKline Paracetamol 500mg,B4-5549,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
Fidson Amoxicillin 100mg,03-6681,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Vitalgrub Metronidazole 100mg,A4-5270,Vitalgrub Nigeria Limited,Medical devices,1
Vitalgrub Amoxicillin 10mg/5ml,A4-8619,Vitalgrub Nigeria Limited,Veterinary,1
Sages Ciprofloxacin 10mg/5ml,03-8253,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
May Paracetamol 500mg,B4-6125,May & Baker Nigeria Plc,Medical devices,1
Neimeth Metronidazole 250mg,B4-421220,Neimeth International Pharmaceuticals,Medical devices,1
Neimeth Artemether 100mg,B4-2615,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Lady Vitamin C 100mg,A4-5429,Lady Special Sanitary Pads Ventures,Veterinary,1
Roche Artemether 100mg,A3-4275,Roche Products Limited,Medical devices,1
May Omeprazole 250mg,A3-3446,May & Baker Nigeria Plc,Drugs,1
Lady Omeprazole 500mg,A4-3337,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,1
Fidson Omeprazole 500mg,B4-7571,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Lady Vitamin C 500mg,B4-866751,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
May Ciprofloxacin 100mg,04-9254,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Roche Vitamin C 100mg,04-6110,Roche Products Limited,Herbals and Nutraceuticals,1
Lady Loratadine 100mg,03-612164,Lady Special Sanitary Pads Ventures,Medical devices,1
Bliss Metronidazole 10mg/5ml,03-8041,Bliss GVS Pharma Ltd,Veterinary,1
Bond Paracetamol 10mg/5ml,03-1173,Bond Chemical Industries Ltd,Drugs,1
May Omeprazole 500mg,04-6190,May & Baker Nigeria Plc,Vaccines and Biologics,1
Bond Amoxicillin 10mg/5ml,B4-3976,Bond Chemical Industries Ltd,Veterinary,1
Bond Metformin 250mg,B4-836091,Bond Chemical Industries Ltd,Veterinary,1
Neimeth Omeprazole 250mg,A3-5289,Neimeth International Pharmaceuticals,Drugs,1
Fidson Artemether 10mg/5ml,A4-972510,Fidson Healthcare Plc,Veterinary,1
Neimeth Amoxicillin 250mg,B4-4976,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Bond Artemether 100mg,B4-1997,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Emzor Paracetamol 250mg,04-292589,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Fidson Paracetamol 10mg/5ml,04-1226,Fidson Healthcare Plc,Veterinary,1
Bliss Ciprofloxacin 250mg,04-758559,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,1
Swiss Paracetamol 10mg/5ml,B4-564151,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Aktika Amoxicillin 250mg,A4-2134,Aktika Global Ltd,Herbals and Nutraceuticals,1
Lady Metronidazole 100mg,B4-2331,Lady Special Sanitary Pads Ventures,Medical devices,1
Fidson Ibuprofen 250mg,A3-7118,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Sages Omeprazole 100mg,A4-4029,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Emzor Paracetamol 100mg,03-6613,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Swiss Ibuprofen 250mg,04-9120,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Lady Amoxicillin 250mg,03-6278,Lady Special Sanitary Pads Ventures,Veterinary,1
Aktika Ciprofloxacin 100mg,03-467390,Aktika Global Ltd,Drugs,1
Neimeth Loratadine 500mg,03-616456,Neimeth International Pharmaceuticals,Medical devices,1
Juhel Amoxicillin 500mg,04-9772,Juhel Nigeria Ltd,Veterinary,1
Wemy Artemether 500mg,03-9391,Wemy Industries Limited,Medical devices,1
Swiss Ciprofloxacin 10mg/5ml,B4-1275,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Wemy Metformin 250mg,A4-904660,Wemy Industries Limited,Drugs,1
Lady Amoxicillin 250mg,03-1309,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,1
Lady Amoxicillin 250mg,03-669601,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,1
Aktika Paracetamol 10mg/5ml,A3-1464,Aktika Global Ltd,Medical devices,1
Lady Paracetamol 500mg,04-7627,Lady Special Sanitary Pads Ventures,Medical devices,1
Emzor Vitamin C 500mg,A3-1557,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Bond Amoxicillin 10mg/5ml,A4-3324,Bond Chemical Industries Ltd,Drugs,1
Fidson Loratadine 250mg,04-8750,Fidson Healthcare Plc,Medical devices,1
May Loratadine 500mg,A4-367446,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Juhel Loratadine 500mg,A3-2806,Juhel Nigeria Ltd,Drugs,1
Neimeth Ibuprofen 10mg/5ml,04-279810,Neimeth International Pharmaceuticals,Vaccines and Biologics,1
Fidson Paracetamol 250mg,04-2031,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Swiss Ibuprofen 100mg,B4-6497,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Wemy Omeprazole 500mg,03-7238,Wemy Industries Limited,Herbals and Nutraceuticals,1
Roche Loratadine 500mg,B4-3228,Roche Products Limited,Herbals and Nutraceuticals,1
Vitalgrub Artemether 10mg/5ml,03-1452,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,1
Lady Omeprazole 100mg,A4-1061,Lady Special Sanitary Pads Ventures,Drugs,1
Bliss Omeprazole 500mg,03-624252,Bliss GVS Pharma Ltd,Medical devices,1
Juhel Amoxicillin 500mg,04-700243,Juhel Nigeria Ltd,Veterinary,1
Neimeth Artemether 100mg,A4-8962,Neimeth International Pharmaceuticals,Veterinary,1
May Vitamin C 250mg,A4-1895,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
GlaxoSmithKline Amoxicillin 250mg,04-854965,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
Wemy Paracetamol 500mg,A3-682334,Wemy Industries Limited,Vaccines and Biologics,1
Sages Vitamin C 500mg,A3-5723,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
GlaxoSmithKline Metronidazole 500mg,A4-2351,GlaxoSmithKline Nigeria,Drugs,1
Bliss Ibuprofen 250mg,B4-3037,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Aktika Omeprazole 500mg,03-5929,Aktika Global Ltd,Vaccines and Biologics,1
GlaxoSmithKline Amoxicillin 500mg,04-7704,GlaxoSmithKline Nigeria,Drugs,1
Swiss Ibuprofen 500mg,04-595951,Swiss Pharma Nigeria Ltd,Veterinary,1
Wemy Vitamin C 250mg,B4-805339,Wemy Industries Limited,Herbals and Nutraceuticals,1
Aktika Ciprofloxacin 10mg/5ml,04-984729,Aktika Global Ltd,Medical devices,1
Bond Amoxicillin 10mg/5ml,04-6069,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Aktika Metronidazole 500mg,03-4232,Aktika Global Ltd,Herbals and Nutraceuticals,1
Neimeth Metformin 100mg,04-8038,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
GlaxoSmithKline Artemether 250mg,A4-4071,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
Bond Metformin 100mg,B4-9159,Bond Chemical Industries Ltd,Veterinary,1
Neimeth Ciprofloxacin 10mg/5ml,A4-1791,Neimeth International Pharmaceuticals,Medical devices,1
Wemy Amoxicillin 100mg,A4-157941,Wemy Industries Limited,Vaccines and Biologics,1
Swiss Paracetamol 10mg/5ml,A3-5993,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Aktika Artemether 250mg,A4-8933,Aktika Global Ltd,Herbals and Nutraceuticals,1
Sages Ciprofloxacin 250mg,03-846648,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Juhel Omeprazole 250mg,03-691759,Juhel Nigeria Ltd,Medical devices,1
Fidson Omeprazole 500mg,04-4022,Fidson Healthcare Plc,Vaccines and Biologics,1
Emzor Vitamin C 500mg,A4-5917,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
Sages Vitamin C 250mg,04-469170,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Bond Artemether 100mg,A4-938418,Bond Chemical Industries Ltd,Vaccines and Biologics,1
Swiss Omeprazole 10mg/5ml,B4-614922,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Lady Paracetamol 100mg,B4-4546,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
Juhel Paracetamol 100mg,03-466056,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Emzor Metformin 100mg,A4-565992,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Aktika Metronidazole 500mg,03-6322,Aktika Global Ltd,Herbals and Nutraceuticals,1
Sages Metformin 250mg,A3-6774,Sages Multipurpose Enterprise Ltd,Veterinary,1
Wemy Vitamin C 10mg/5ml,A4-6285,Wemy Industries Limited,Vaccines and Biologics,1
GlaxoSmithKline Artemether 100mg,04-543884,GlaxoSmithKline Nigeria,Veterinary,1
Emzor Ciprofloxacin 10mg/5ml,03-1800,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Aktika Vitamin C 500mg,A3-3126,Aktika Global Ltd,Drugs,1
Lady Metformin 100mg,A3-7227,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,1
Wemy Ciprofloxacin 10mg/5ml,B4-5962,Wemy Industries Limited,Veterinary,1
May Vitamin C 10mg/5ml,03-5381,May & Baker Nigeria Plc,Veterinary,1
GlaxoSmithKline Amoxicillin 10mg/5ml,04-7094,GlaxoSmithKline Nigeria,Drugs,1
Vitalgrub Ciprofloxacin 500mg,A3-2529,Vitalgrub Nigeria Limited,Medical devices,1
Sages Amoxicillin 100mg,A3-1693,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Fidson Vitamin C 500mg,A3-108981,Fidson Healthcare Plc,Medical devices,1
Juhel Amoxicillin 10mg/5ml,A4-1774,Juhel Nigeria Ltd,Vaccines and Biologics,1
GlaxoSmithKline Metronidazole 250mg,A4-201069,GlaxoSmithKline Nigeria,Medical devices,1
Aktika Vitamin C 100mg,03-4667,Aktika Global Ltd,Drugs,1
Fidson Omeprazole 250mg,04-9167,Fidson Healthcare Plc,Drugs,1
Wemy Amoxicillin 100mg,A3-187745,Wemy Industries Limited,Herbals and Nutraceuticals,1
Neimeth Vitamin C 500mg,A4-113698,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Wemy Loratadine 500mg,03-9369,Wemy Industries Limited,Medical devices,1
GlaxoSmithKline Paracetamol 10mg/5ml,B4-8802,GlaxoSmithKline Nigeria,Medical devices,1
Lady Omeprazole 250mg,B4-6930,Lady Special Sanitary Pads Ventures,Drugs,1
Vitalgrub Paracetamol 500mg,B4-364531,Vitalgrub Nigeria Limited,Veterinary,1
Neimeth Omeprazole 250mg,B4-848501,Neimeth International Pharmaceuticals,Drugs,1
Sages Artemether 500mg,B4-5308,Sages Multipurpose Enterprise Ltd,Veterinary,1
Wemy Paracetamol 100mg,04-6761,Wemy Industries Limited,Veterinary,1
Bliss Ciprofloxacin 250mg,A3-356094,Bliss GVS Pharma Ltd,Veterinary,1
GlaxoSmithKline Vitamin C 500mg,03-8061,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
Wemy Metformin 100mg,04-6301,Wemy Industries Limited,Medical devices,1
Aktika Metronidazole 250mg,A3-834543,Aktika Global Ltd,Medical devices,1
May Artemether 100mg,B4-5703,May & Baker Nigeria Plc,Vaccines and Biologics,1
Lady Amoxicillin 250mg,A3-940271,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,1
May Ibuprofen 100mg,03-275508,May & Baker Nigeria Plc,Veterinary,1
Emzor Ibuprofen 500mg,A3-440327,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Emzor Omeprazole 100mg,A4-6901,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
Sages Metformin 250mg,A3-2301,Sages Multipurpose Enterprise Ltd,Drugs,1
Neimeth Vitamin C 250mg,03-132735,Neimeth International Pharmaceuticals,Medical devices,1
Roche Metronidazole 10mg/5ml,B4-286988,Roche Products Limited,Veterinary,1
Lady Ibuprofen 250mg,03-6856,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
Fidson Paracetamol 100mg,04-2810,Fidson Healthcare Plc,Drugs,1
Lady Ciprofloxacin 100mg,A3-1619,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
Bond Loratadine 250mg,A4-4307,Bond Chemical Industries Ltd,Drugs,1
Swiss Ciprofloxacin 100mg,A4-7373,Swiss Pharma Nigeria Ltd,Drugs,1
Fidson Loratadine 250mg,B4-651764,Fidson Healthcare Plc,Vaccines and Biologics,1
Emzor Amoxicillin 100mg,04-7961,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Juhel Artemether 250mg,04-9045,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Roche Metronidazole 500mg,A3-497046,Roche Products Limited,Medical devices,1
GlaxoSmithKline Loratadine 250mg,03-3971,GlaxoSmithKline Nigeria,Medical devices,1
Swiss Metronidazole 100mg,03-5722,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Bliss Artemether 100mg,03-5090,Bliss GVS Pharma Ltd,Veterinary,1
GlaxoSmithKline Omeprazole 250mg,03-2683,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Emzor Ciprofloxacin 250mg,A4-669494,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Roche Ciprofloxacin 100mg,04-238886,Roche Products Limited,Drugs,1
Neimeth Ibuprofen 10mg/5ml,A3-474557,Neimeth International Pharmaceuticals,Veterinary,1
Lady Loratadine 500mg,A4-7820,Lady Special Sanitary Pads Ventures,Drugs,1
Bliss Metronidazole 500mg,A3-7055,Bliss GVS Pharma Ltd,Medical devices,1
Swiss Ibuprofen 500mg,A4-419540,Swiss Pharma Nigeria Ltd,Veterinary,1
Neimeth Artemether 10mg/5ml,A4-7670,Neimeth International Pharmaceuticals,Medical devices,1
Juhel Artemether 10mg/5ml,04-8925,Juhel Nigeria Ltd,Veterinary,1
Fidson Paracetamol 100mg,04-1813,Fidson Healthcare Plc,Veterinary,1
Bond Artemether 100mg,A3-607704,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Neimeth Metronidazole 10mg/5ml,04-6408,Neimeth International Pharmaceuticals,Medical devices,1
Fidson Vitamin C 100mg,B4-147252,Fidson Healthcare Plc,Veterinary,1
Bond Metformin 250mg,04-3637,Bond Chemical Industries Ltd,Drugs,1
Aktika Ciprofloxacin 10mg/5ml,A4-114425,Aktika Global Ltd,Veterinary,1
Bond Metformin 250mg,A4-392338,Bond Chemical Industries Ltd,Drugs,1
Bliss Amoxicillin 500mg,B4-1753,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
GlaxoSmithKline Loratadine 10mg/5ml,B4-961646,GlaxoSmithKline Nigeria,Drugs,1
GlaxoSmithKline Metronidazole 250mg,A3-5362,GlaxoSmithKline Nigeria,Medical devices,1
Sages Omeprazole 250mg,03-136509,Sages Multipurpose Enterprise Ltd,Medical devices,1
Wemy Ibuprofen 10mg/5ml,B4-1689,Wemy Industries Limited,Herbals and Nutraceuticals,1
Roche Metformin 10mg/5ml,04-694331,Roche Products Limited,Vaccines and Biologics,1
Emzor Metformin 500mg,03-108367,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Emzor Ibuprofen 250mg,A4-1402,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Swiss Artemether 250mg,B4-8434,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
